iter	Passed	Remaining
430	1556	2054
431	1559	2050
432	1563	2046
433	1566	2043
434	1569	2038
435	1573	2035
436	1576	2031
437	1580	2027
438	1583	2023
439	1586	2019
440	1588	2013
441	1591	2009
442	1594	2005
443	1598	2001
444	1600	1996
445	1604	1992
446	1607	1988
447	1610	1984
448	1614	1981
449	1619	1978
450	1622	1974
451	1625	1970
452	1629	1967
453	1631	1962
454	1635	1958
455	1637	1953
456	1641	1949
457	1643	1945
458	1647	1942
459	1651	1938
460	1654	1934
461	1657	1930
462	1660	1925
463	1663	1922
464	1667	1918
465	1670	1914
466	1673	1909
467	1676	1905
468	1678	1900
469	1682	1897
470	1685	1892
471	1686	1887
472	1689	1882
473	1691	1877
474	1694	1872
475	1697	1868
476	1701	1866
477	1704	1861
478	1707	1856
479	1710	1852
480	1713	1848
481	1716	1844
482	1720	1841
483	1722	1836
484	1725	1832
485	1729	1829
486	1733	1826
487	1736	1822
488	1740	1818
489	1743	1814
490	1746	1810
491	1749	1806
492	1753	1803
493	1756	1799
494	1759	1795
495	1762	1791
496	1765	1787
497	1769	1783
498	1772	1779
499	1774	1774
500	1777	1770
501	1781	1767
502	1784	1763
503	1788	1759
504	1792	1756
505	1796	1753
506	1799	1749
507	1801	1744
508	1804	1740
509	1807	1736
510	1810	1732
511	1814	1729
512	1819	1726
513	1823	1723
514	1825	1719
515	1829	1716
516	1832	1711
517	1836	1708
518	1839	1704
519	1842	1701
520	1846	1697
521	1848	1692
522	1852	1689
523	1855	1685
524	1857	1680
525	1861	1677
526	1863	1672
527	1867	1669
528	1870	1665
529	1873	1661
530	1877	1657
531	1880	1654
532	1884	1650
533	1887	1646
534	1890	1643
535	1893	1639
536	1896	1635
537	1900	1631
538	1903	1627
539	1906	1624
540	1909	1620
541	1912	1616
542	1915	1612
543	1918	1608
544	1921	1604
545	1924	1600
546	1927	1596
547	1931	1593
548	1935	1589
549	1938	1585
550	1941	1582
551	1944	1578
552	1948	1574
553	1951	1570
554	1954	1567
555	1958	1563
556	1961	1559
557	1964	1556
558	1967	1552
559	1971	1548
560	1974	1544
561	1977	1540
562	1980	1537
563	1984	1533
564	1987	1529
565	1990	1526
566	1993	1522
567	1997	1518
568	2000	1514
569	2003	1511
570	2006	1507
571	2008	1502
572	2011	1499
573	2014	1495
574	2017	1491
575	2020	1487
576	2024	1483
577	2027	1480
578	2030	1476
579	2034	1473
580	2037	1469
581	2040	1465
582	2043	1461
583	2046	1457
584	2049	1454
585	2052	1450
586	2055	1446
587	2059	1442
588	2062	1439
589	2064	1434
590	2067	1431
591	2071	1427
592	2073	1423
593	2076	1419
594	2080	1415
595	2083	1412
596	2086	1408
597	2089	1404
598	2092	1400
599	2096	1397
600	2099	1393
601	2102	1390
602	2105	1386
603	2109	1382
604	2112	1379
605	2115	1375
606	2119	1371
607	2122	1368
608	2125	1364
609	2128	1360
610	2130	1356
611	2133	1352
612	2136	1348
613	2139	1345
614	2142	1341
615	2146	1337
616	2149	1334
617	2152	1330
618	2155	1327
619	2159	1323
620	2162	1319
621	2165	1315
622	2168	1312
623	2171	1308
624	2175	1305
625	2178	1301
626	2181	1297
627	2185	1294
628	2188	1290
629	2191	1287
630	2194	1283
631	2198	1279
632	2201	1276
633	2204	1272
634	2207	1268
635	2210	1265
636	2211	1260
637	2213	1256
638	2217	1252
639	2220	1249
640	2224	1246
641	2228	1242
642	2231	1239
643	2235	1235
644	2237	1231
645	2240	1227
646	2243	1224
647	2247	1220
648	2250	1217
649	2254	1213
650	2256	1209
651	2260	1206
652	2263	1202
653	2266	1199
654	2269	1195
655	2272	1191
656	2275	1188
657	2279	1184
658	2282	1180
659	2286	1177
660	2289	1174
661	2292	1170
662	2299	1169
663	2302	1165
664	2306	1161
665	2309	1158
666	2313	1154
667	2315	1150
668	2318	1147
669	2321	1143
670	2325	1140
671	2328	1136
672	2331	1132
673	2334	1129
674	2337	1125
675	2340	1121
676	2343	1118
677	2346	1114
678	2350	1111
679	2353	1107
680	2356	1104
681	2360	1100
682	2362	1096
683	2366	1093
684	2369	1089
685	2372	1085
686	2374	1081
687	2377	1078
688	2380	1074
689	2384	1071
690	2387	1067
691	2390	1064
692	2399	1062
693	2403	1059
694	2406	1056
695	2409	1052
696	2413	1049
697	2417	1045
698	2419	1042
699	2423	1038
700	2426	1034
701	2429	1031
702	2431	1027
703	2434	1023
704	2437	1019
705	2440	1016
706	2443	1012
707	2446	1009
708	2450	1005
709	2453	1002
710	2457	998
711	2459	994
712	2462	991
713	2466	987
714	2469	984
715	2472	980
716	2475	977
717	2478	973
718	2482	970
719	2485	966
720	2488	963
721	2492	959
722	2495	956
723	2499	952
724	2502	949
725	2505	945
726	2508	942
727	2512	938
728	2515	935
729	2518	931
730	2522	928
731	2525	924
732	2529	921
733	2532	917
734	2535	914
735	2538	910
736	2541	907
737	2545	903
738	2548	900
739	2551	896
740	2554	893
741	2557	889
742	2561	885
743	2564	882
744	2568	879
745	2571	875
746	2574	872
747	2578	868
748	2581	865
749	2584	861
750	2588	858
751	2591	854
752	2595	851
753	2598	847
754	2601	844
755	2605	840
756	2608	837
757	2611	833
758	2615	830
759	2617	826
760	2620	822
761	2623	819
762	2627	815
763	2630	812
764	2633	809
765	2637	805
766	2640	802
767	2643	798
768	2647	795
769	2650	791
770	2653	788
771	2657	784
772	2660	781
773	2663	777
774	2666	774
775	2670	770
776	2673	767
777	2676	763
778	2680	760
779	2683	756
780	2686	753
781	2690	750
782	2693	746
783	2697	743
784	2700	739
785	2704	736
786	2707	732
787	2710	729
788	2714	725
789	2717	722
790	2720	718
791	2723	715
792	2727	711
793	2730	708
794	2733	704
795	2737	701
796	2739	697
797	2742	694
798	2745	690
799	2748	687
800	2752	683
801	2755	680
802	2757	676
803	2761	673
804	2764	669
805	2768	666
806	2771	662
807	2774	659
808	2777	655
809	2780	652
810	2783	648
811	2786	645
812	2789	641
813	2792	638
814	2794	634
815	2798	630
816	2801	627
817	2804	623
818	2806	620
819	2810	616
820	2813	613
821	2817	610
822	2820	606
823	2823	603
824	2826	599
825	2830	596
826	2833	592
827	2837	589
828	2840	585
829	2843	582
830	2846	578
831	2849	575
832	2853	572
833	2856	568
834	2859	565
835	2863	561
836	2866	558
837	2869	554
838	2873	551
839	2876	547
840	2879	544
841	2882	540
842	2886	537
843	2889	534
844	2891	530
845	2894	526
846	2896	523
847	2900	519
848	2903	516
849	2906	512
850	2910	509
851	2913	506
852	2916	502
853	2920	499
854	2923	495
855	2927	492
856	2930	488
857	2933	485
858	2936	482
859	2940	478
860	2943	475
861	2946	471
862	2950	468
863	2953	464
864	2956	461
865	2959	457
866	2963	454
867	2966	451
868	2969	447
869	2972	444
870	2975	440
871	2979	437
872	2982	433
873	2985	430
874	2988	426
875	2990	423
876	2992	419
877	2995	416
878	2998	412
879	3002	409
880	3005	405
881	3009	402
882	3012	399
883	3014	395
884	3016	391
885	3019	388
886	3023	385
887	3026	381
888	3029	378
889	3032	374
890	3035	371
891	3038	367
892	3042	364
893	3045	361
894	3048	357
895	3051	354
896	3054	350
897	3057	347
898	3060	343
899	3063	340
900	3066	336
901	3069	333
902	3072	330
903	3075	326
904	3078	323
905	3081	319
906	3084	316
907	3087	312
908	3090	309
909	3093	305
910	3097	302
911	3100	299
912	3103	295
913	3106	292
914	3109	288
915	3111	285
916	3114	281
917	3118	278
918	3120	275
919	3124	271
920	3127	268
921	3130	264
922	3134	261
923	3137	258
924	3140	254
925	3143	251
926	3146	247
927	3150	244
928	3153	241
929	3156	237
930	3159	234
931	3163	230
932	3166	227
933	3169	223
934	3172	220
935	3175	217
936	3178	213
937	3182	210
938	3185	206
939	3189	203
940	3192	200
941	3195	196
942	3198	193
943	3201	189
944	3203	186
945	3206	183
946	3208	179
947	3212	176
948	3214	172
949	3217	169
950	3220	165
951	3223	162
952	3226	159
953	3229	155
954	3232	152
955	3235	148
956	3238	145
957	3242	142
958	3245	138
959	3248	135
960	3251	131
961	3254	128
962	3257	125
963	3261	121
964	3264	118
965	3266	114
966	3269	111
967	3271	108
968	3273	104
969	3277	101
970	3280	97
971	3283	94
972	3286	91
973	3289	87
974	3292	84
975	3296	81
976	3299	77
977	3303	74
978	3307	70
979	3310	67
980	3313	64
981	3317	60
982	3321	57
983	3325	54
984	3328	50
985	3331	47
986	3335	43
987	3338	40
988	3342	37
989	3345	33
990	3349	30
991	3352	27
992	3355	23
993	3359	20
994	3362	16
995	3366	13
996	3370	10
997	3373	6
998	3376	3
999	3380	0
