iter	RMSE
214	19839.7668
215	19795.22824
216	19765.60007
217	19740.79733
218	19721.47983
219	19706.5503
220	19689.51424
221	19644.97303
222	19615.92631
223	19594.86417
224	19568.15512
225	19531.10664
226	19493.4077
227	19464.76315
228	19426.88578
229	19406.05418
230	19396.42106
231	19375.43504
232	19355.86396
233	19336.03382
234	19301.67816
235	19271.87023
236	19245.13462
237	19227.87521
238	19203.6484
239	19177.5625
240	19163.38871
241	19131.76312
242	19099.63911
243	19082.14824
244	19065.22558
245	19053.33249
246	19034.40606
247	19020.32275
248	19005.45054
249	18975.18425
250	18957.46786
251	18921.00858
252	18883.88873
253	18872.77264
254	18860.15931
255	18838.66259
256	18819.44548
257	18789.83397
258	18759.69606
259	18730.27728
260	18703.37666
261	18666.85111
262	18647.80517
263	18621.54069
264	18603.69965
265	18581.63697
266	18529.7654
267	18503.98217
268	18491.86166
269	18471.94425
270	18440.98494
271	18428.65828
272	18420.68577
273	18412.87698
274	18400.52346
275	18384.64575
276	18358.16567
277	18339.54689
278	18315.09985
279	18279.90496
280	18267.61147
281	18247.68888
282	18221.51565
283	18200.50822
284	18177.7964
285	18144.33256
286	18117.86684
287	18093.3981
288	18063.36999
289	18048.6171
290	18030.36481
291	18001.15102
292	17989.53746
293	17979.08882
294	17960.86704
295	17934.32229
296	17914.42419
297	17900.12895
298	17871.8725
299	17852.9628
300	17840.85042
301	17825.7895
302	17815.35453
303	17790.90284
304	17775.47999
305	17753.6868
306	17729.98512
307	17689.12801
308	17672.79612
309	17658.34091
310	17635.26446
311	17622.81013
312	17606.77145
313	17579.40528
314	17549.85242
315	17533.41309
316	17508.51903
317	17486.43638
318	17474.94517
319	17463.91593
320	17434.1551
321	17418.33887
322	17372.32217
323	17339.7886
324	17315.52738
325	17295.5907
326	17270.29476
327	17253.2706
328	17240.89013
329	17226.99126
330	17206.29963
331	17196.82826
332	17176.4685
333	17158.49457
334	17146.63158
335	17122.36833
336	17112.50777
337	17100.31356
338	17076.69621
339	17061.71886
340	17043.55215
341	17030.3918
342	17016.40436
343	16994.99506
344	16978.24096
345	16954.6858
346	16939.43444
347	16909.62535
348	16897.72156
349	16885.1413
350	16876.1798
351	16863.50635
352	16845.51019
353	16823.08668
354	16804.55546
355	16777.47652
356	16764.06461
357	16747.4704
358	16736.71451
359	16724.78236
360	16708.71021
361	16669.81448
362	16651.36889
363	16631.90046
364	16609.55456
365	16572.15875
366	16564.54082
367	16554.58556
368	16538.06831
369	16520.56149
370	16503.02977
371	16491.24951
372	16475.74398
373	16451.19483
374	16436.58496
375	16430.92476
376	16420.63022
377	16404.95282
378	16395.34106
379	16388.27094
380	16375.8454
381	16367.6129
382	16347.98624
383	16330.24171
384	16296.16735
385	16288.01751
386	16271.9555
387	16260.07174
388	16248.32569
389	16221.9628
390	16206.45666
391	16201.57428
392	16159.71052
393	16150.48457
394	16142.63908
395	16132.99724
396	16124.658
397	16108.51588
398	16091.55477
399	16081.96808
400	16050.02342
401	16041.96543
402	16027.68951
403	16017.92638
404	16006.49191
405	16000.92042
406	15996.38568
407	15987.69502
408	15978.16054
409	15956.11675
410	15944.87294
411	15934.56653
412	15903.99189
413	15875.74048
414	15868.15235
415	15864.19011
416	15832.57539
417	15824.27901
418	15803.92356
419	15788.82445
420	15782.70231
421	15769.40639
422	15744.92426
423	15722.16688
424	15717.10783
425	15705.05411
426	15698.25011
427	15680.50185
428	15661.57257
429	15651.83078
430	15647.04899
431	15617.10481
432	15612.49064
433	15572.43067
434	15562.80489
435	15551.64085
436	15541.6999
437	15531.38364
438	15522.58735
439	15515.33262
440	15501.32438
441	15494.17876
442	15475.30763
443	15468.8089
444	15452.98759
445	15448.5185
446	15427.54493
447	15420.13226
448	15405.93808
449	15388.76452
450	15367.88134
451	15361.62292
452	15344.56112
453	15327.82298
454	15316.99443
455	15313.26059
456	15301.83283
457	15280.90474
458	15275.68911
459	15270.68825
460	15258.23353
461	15242.87598
462	15224.55578
463	15209.05675
464	15194.45716
465	15190.13812
466	15174.32382
467	15170.21243
468	15159.08201
469	15151.01804
470	15135.06258
471	15125.20846
472	15099.14511
473	15086.52412
474	15079.06982
475	15063.05196
476	15038.43087
477	15033.69933
478	15019.66309
479	15014.68672
480	15008.73169
481	14985.04257
482	14973.84808
483	14967.81672
484	14961.232
485	14946.59161
486	14938.7877
487	14930.14714
488	14917.9011
489	14892.06779
490	14877.54423
491	14870.97125
492	14848.01012
493	14840.98057
494	14830.22955
495	14816.46321
496	14802.10059
497	14784.78609
498	14771.03263
499	14757.41697
500	14745.6131
501	14739.21604
502	14731.94303
503	14721.94664
504	14709.55927
505	14705.85568
506	14694.641
507	14671.99831
508	14650.44731
509	14639.39786
510	14622.72804
511	14619.19891
512	14609.43541
513	14601.40252
514	14589.0947
515	14575.49154
516	14565.51618
517	14551.29346
518	14546.60406
519	14543.68785
520	14535.80795
521	14527.87201
522	14517.93655
523	14503.53028
524	14497.22458
525	14489.42008
526	14484.04493
527	14471.95617
528	14455.20627
529	14450.42354
530	14447.32137
531	14433.82601
532	14419.73524
533	14412.68154
534	14398.46095
535	14390.54071
536	14379.99541
537	14366.92454
538	14356.64583
539	14351.53163
540	14341.93063
541	14334.06316
542	14325.37254
543	14321.81091
544	14317.34062
545	14306.93243
546	14285.64876
547	14277.42673
548	14263.93775
549	14251.93824
550	14234.80119
551	14226.77222
552	14213.25325
553	14195.90405
554	14183.52246
555	14170.21603
556	14167.3634
557	14163.25422
558	14153.6069
559	14149.20082
560	14138.00302
561	14134.07515
562	14116.37109
563	14111.52563
564	14104.69899
565	14101.60179
566	14094.82631
567	14088.35784
568	14079.61286
569	14055.68212
570	14031.15173
571	14017.9404
572	14005.95116
573	13996.0913
574	13977.3718
575	13963.6888
576	13953.58222
577	13941.19804
578	13934.23451
579	13925.94374
580	13920.87362
581	13911.54142
582	13884.54987
583	13881.07832
584	13869.10139
585	13862.57105
586	13851.35255
587	13825.73808
588	13822.53039
589	13804.96828
590	13792.43656
591	13780.38079
592	13768.03791
593	13759.38551
594	13744.78241
595	13726.89729
596	13717.28121
597	13707.40449
598	13701.31747
599	13684.2196
600	13663.47937
601	13657.32293
602	13651.9807
603	13649.06747
604	13632.82571
605	13620.35774
606	13594.81461
607	13589.32876
608	13581.61302
609	13574.14583
610	13558.02309
611	13551.89487
612	13545.8869
613	13528.6184
614	13522.63939
615	13509.49919
616	13506.52804
617	13498.39784
618	13494.44525
619	13476.82251
620	13463.80919
621	13458.14136
622	13446.12028
623	13438.05303
624	13428.10144
625	13423.267
626	13418.9549
627	13406.29782
628	13403.01604
629	13400.44808
630	13387.92889
631	13372.91856
632	13365.38915
633	13362.82227
634	13345.46306
635	13334.50198
636	13323.22042
637	13312.6572
638	13298.04051
639	13287.65334
640	13280.77602
641	13273.38741
642	13263.64632
643	13254.08885
644	13247.64101
645	13243.12687
646	13236.05794
647	13221.75001
648	13209.83785
649	13197.97787
650	13181.89071
651	13168.78701
652	13162.28102
653	13156.72249
654	13148.8827
655	13140.64804
656	13135.23556
657	13127.8309
658	13123.51895
659	13111.28314
660	13104.72725
661	13100.97968
662	13092.34157
663	13088.54034
664	13083.06011
665	13062.41672
666	13043.78956
667	13036.21748
668	13030.45026
669	13009.82013
670	12999.15785
671	12991.38534
672	12987.38075
673	12983.74513
674	12981.04214
675	12977.82164
676	12974.72643
677	12968.42332
678	12959.9912
679	12953.52248
680	12947.90048
681	12939.73873
682	12936.56633
683	12930.15561
684	12916.87515
685	12914.75791
686	12909.64711
687	12905.6992
688	12896.92011
689	12889.05365
690	12877.06613
691	12867.11479
692	12846.85418
693	12835.33112
694	12830.0071
695	12817.75432
696	12810.01327
697	12801.20559
698	12794.13999
699	12778.47742
700	12763.88717
701	12749.90053
702	12739.66153
703	12731.25738
704	12722.66702
705	12707.59608
706	12700.27727
707	12693.08146
708	12682.51244
709	12668.9971
710	12663.13157
711	12659.81454
712	12648.69477
713	12633.17474
714	12626.93356
715	12613.54287
716	12603.31073
717	12593.28369
718	12583.33902
719	12576.17387
720	12564.31078
721	12558.8839
722	12552.94978
723	12546.17449
724	12528.25566
725	12521.88684
726	12505.9045
727	12494.31081
728	12488.9582
729	12484.03336
730	12472.3613
731	12462.83009
732	12454.28436
733	12451.24574
734	12437.1709
735	12433.57182
736	12424.68257
737	12416.10559
738	12413.17012
739	12397.61799
740	12386.26775
741	12385.09424
742	12378.8426
743	12372.11255
744	12355.22832
745	12348.85411
746	12339.72222
747	12335.81204
748	12329.49095
749	12320.58415
750	12312.84687
751	12296.12656
752	12289.09459
753	12282.29149
754	12275.8337
755	12260.65816
756	12257.95431
757	12256.32024
758	12248.27247
759	12243.61167
760	12238.66667
761	12232.60952
762	12228.26067
763	12220.15021
764	12212.7247
765	12207.14989
766	12195.29765
767	12186.23188
768	12179.96803
769	12173.33053
770	12163.50868
771	12156.91315
772	12153.15106
773	12142.09876
774	12132.63678
775	12118.24819
776	12114.88107
777	12101.76359
778	12095.13213
779	12081.28146
780	12074.75992
781	12070.89725
782	12067.94458
783	12053.23247
784	12043.60839
785	12035.60277
786	12027.31749
787	12016.36414
788	12011.31204
789	12005.392
790	11996.18679
791	11987.07174
792	11982.76962
793	11980.26612
794	11968.10958
795	11958.92006
796	11951.43682
797	11943.06168
798	11941.08938
799	11930.10209
800	11924.4732
801	11913.97896
802	11906.94633
803	11897.21202
804	11889.11751
805	11886.15247
806	11881.46049
807	11873.24074
808	11862.92564
809	11856.87141
810	11848.4204
811	11834.73309
812	11830.26102
813	11824.02572
814	11809.7727
815	11807.52956
816	11799.34375
817	11792.66832
818	11788.5222
819	11786.73132
820	11782.82175
821	11778.18092
822	11774.41692
823	11763.18946
824	11757.22527
825	11751.82756
826	11744.75645
827	11739.55944
828	11735.5788
829	11730.51629
830	11726.57235
831	11719.35855
832	11711.25416
833	11704.4252
834	11696.57446
835	11687.80623
836	11674.51059
837	11669.9609
838	11667.89842
839	11655.89655
840	11646.5184
841	11641.80672
842	11630.99597
843	11627.59089
844	11622.43382
845	11618.66619
846	11614.60731
847	11609.1865
848	11605.4275
849	11596.05718
850	11591.14038
851	11585.73703
852	11584.04076
853	11578.79969
854	11570.50289
855	11562.84314
856	11557.45476
857	11552.80022
858	11544.20687
859	11537.25607
860	11533.53098
861	11527.69239
862	11524.59771
863	11521.56573
864	11510.86594
865	11505.80972
866	11497.38732
867	11488.91811
868	11481.49996
869	11473.60355
870	11464.23443
871	11456.46903
872	11450.85391
873	11444.43115
874	11436.68695
875	11435.21567
876	11431.16195
877	11424.80236
878	11420.56103
879	11415.09042
880	11411.18985
881	11403.66887
882	11398.47453
883	11392.61143
884	11386.33706
885	11384.45671
886	11375.4206
887	11369.15224
888	11361.9794
889	11354.28772
890	11351.9631
891	11347.29064
892	11341.09993
893	11331.54758
894	11327.77208
895	11323.09814
896	11316.94572
897	11308.02107
898	11295.61231
899	11293.32139
900	11290.45793
901	11285.44013
902	11278.62373
903	11271.01272
904	11266.2609
905	11263.28712
906	11259.70873
907	11255.5137
908	11252.51228
909	11240.05331
910	11238.06247
911	11232.25859
912	11224.14025
913	11219.66775
914	11215.32467
915	11213.11053
916	11208.3352
917	11203.07446
918	11200.09283
919	11196.47806
920	11189.39032
921	11180.32734
922	11172.37434
923	11164.6273
924	11156.32565
925	11152.46342
926	11146.81812
927	11136.77955
928	11133.51474
929	11127.68218
930	11124.95386
931	11113.85015
932	11109.30757
933	11104.35129
934	11100.59791
935	11096.93679
936	11095.55447
937	11091.17683
938	11085.79994
939	11077.03436
940	11069.8131
941	11067.45257
942	11054.49066
943	11051.90033
944	11047.07038
945	11044.81407
946	11041.6177
947	11034.87923
948	11027.0298
949	11019.4467
950	11017.43292
951	11016.82777
952	11015.31293
953	11011.03425
954	11005.66613
955	11000.95677
956	10994.89295
957	10986.07743
958	10976.9167
959	10972.45139
960	10967.27893
961	10960.38012
962	10956.76536
963	10949.28485
964	10941.33035
965	10934.19052
966	10928.65542
967	10922.72201
968	10917.50658
969	10911.49824
970	10908.84833
971	10904.6138
972	10898.23413
973	10891.52362
974	10885.58551
975	10882.03932
976	10872.21984
977	10869.22168
978	10860.73673
979	10856.91799
980	10845.30502
981	10839.83922
982	10832.5601
983	10829.11624
984	10823.31328
985	10814.36299
986	10807.56497
987	10804.50688
988	10800.39316
989	10794.8436
990	10792.74079
991	10785.40235
992	10781.14232
993	10774.564
994	10769.51239
995	10765.65157
996	10758.70381
997	10753.97848
998	10747.1179
999	10735.17245
